MAL_ID,Name,Score,Genres,English name,Type,Episodes,Studios,Rating,Ranked,Popularity
1,cowboy bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",Cowboy Bebop,TV,26,Sunrise,R - 17+ (violence & profanity),28.0,39
5,cowboy bebop: tengoku no tobira,8.39,"Action, Drama, Mystery, Sci-Fi, Space",Cowboy Bebop:The Movie,Movie,1,Bones,R - 17+ (violence & profanity),159.0,518
6,trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",Trigun,TV,26,Madhouse,PG-13 - Teens 13 or older,266.0,201
7,witch hunter robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic",Witch Hunter Robin,TV,26,Sunrise,PG-13 - Teens 13 or older,2481.0,1467
8,bouken ou beet,6.98,"Adventure, Fantasy, Shounen, Supernatural",Beet the Vandel Buster,TV,52,Toei Animation,PG - Children,3710.0,4369
15,eyeshield 21,7.95,"Action, Sports, Comedy, Shounen",Unknown,TV,145,Gallop,PG-13 - Teens 13 or older,604.0,1003
16,hachimitsu to clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",Honey and Clover,TV,24,J.C.Staff,PG-13 - Teens 13 or older,468.0,687
17,hungry heart: wild striker,7.59,"Slice of Life, Comedy, Sports, Shounen",Unknown,TV,52,Nippon Animation,PG-13 - Teens 13 or older,1317.0,3612
18,initial d fourth stage,8.15,"Action, Cars, Sports, Drama, Seinen",Unknown,TV,24,A.C.G.T.,PG-13 - Teens 13 or older,360.0,1233
19,monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",Monster,TV,74,Madhouse,R+ - Mild Nudity,30.0,169
20,naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",Naruto,TV,220,Studio Pierrot,PG-13 - Teens 13 or older,660.0,8
21,one piece,8.52,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",One Piece,TV,Unknown,Toei Animation,PG-13 - Teens 13 or older,95.0,31
22,tennis no ouji-sama,7.9,"Action, Comedy, Sports, School, Shounen",The Prince of Tennis,TV,178,Trans Arts,PG-13 - Teens 13 or older,675.0,1039
23,ring ni kakero 1,6.38,"Action, Shounen, Sports",Unknown,TV,12,Toei Animation,PG - Children,6493.0,7333
24,school rumble,7.94,"Comedy, Romance, School, Shounen",School Rumble,TV,26,Studio Comet,PG-13 - Teens 13 or older,625.0,514
25,sunabouzu,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",Desert Punk,TV,24,Gonzo,R - 17+ (violence & profanity),1844.0,1284
26,texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",Texhnolyze,TV,22,Madhouse,R+ - Mild Nudity,896.0,823
27,trinity blood,7.32,"Action, Supernatural, Vampire",Trinity Blood,TV,24,Gonzo,R - 17+ (violence & profanity),2240.0,936
28,yakitate!! japan,7.95,"Comedy, Shounen",Yakitate!! Japan,TV,69,Sunrise,PG-13 - Teens 13 or older,609.0,1666
29,zipang,7.51,"Action, Military, Sci-Fi, Historical, Drama, Seinen",Unknown,TV,26,Studio Deen,PG-13 - Teens 13 or older,1565.0,3985
